StudentID,Certification Course,Gender,Department,Weight(LBs),Height(in),11.0th GPA,12th GPA,College GPA,hobbies,"If Other, Please Specify",daily studing time,prefer to study in,salary expectation,Do you like your degree?,willingness to pursue a career based on their degree  ,social media & video,Travelling Time ,Stress Level ,Financial Status,part-time job
0,No,Male,BCA,127.86796,39.3701,3.7,2.7,4,Video Games,,0 - 30 minute,Morning,40000,No,50%,1.30 - 2 hour,30 - 60 minutes,Bad,Bad,No
1,No,Female,BCA,88.1848,35.43309,3.3,4,3.3,Cinema,,30 - 60 minute,Morning,15000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Bad,Bad,No
2,Yes,Male,BCA,171.96036,62.598459,3.3,2.7,2.3,Other,"Painting, art stuff",1 - 2 Hour,Anytime,13000,Yes,50%,More than 2 hour,30 - 60 minutes,Awful,Bad,No
3,Yes,Female,BCA,44.0924,57.874047,3.3,2.3,2.3,Reading books,,1 - 2 Hour,Anytime,1500000,No,50%,1.30 - 2 hour,0 - 30 minutes,Bad,good,No
4,No,Male,BCA,119.04948,66.92917,1,3,1,Video Games,,30 - 60 minute,Morning,50000,Yes,25%,1.30 - 2 hour,30 - 60 minutes,Good,good,No
5,Yes,Female,BCA,72.75246,54.724439,4,3.7,3.3,Cinema,,30 - 60 minute,Night,20000,Yes,50%,30 - 60 Minute,0 - 30 minutes,Bad,good,No
6,Yes,Male,BCA,110.231,64.960665,3.3,2.7,1,Reading books,,1 - 2 Hour,Morning,15000,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No
7,No,Male,BCA,94.79866,59.842552,2.7,2.7,3.7,Sports,,1 - 2 Hour,Morning,25000,Yes,50%,1 - 1.30 hour,1 - 1.30 hour,Good,good,No
8,No,Male,BCA,187.3927,74.80319,4,3,2.7,Video Games,,0 - 30 minute,Morning,20000,Yes,75%,1.30 - 2 hour,1 - 1.30 hour,Bad,Bad,No
9,No,Male,BCA,185.18808,59.05515,2.7,3,3.3,Video Games,,0 - 30 minute,Anytime,20000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Good,good,No
10,No,Male,BCA,110.231,38.976399,3.7,3.3,2.7,Video Games,,1 - 2 Hour,Morning,18000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,Bad,No
11,No,Female,BCA,112.43562,59.842552,2.7,2.3,3,Other,I like to sleep,2 - 3 hour,Night,20000,Yes,75%,1 - 1.30 hour,2 - 2.30 hour,Bad,Bad,No
12,Yes,Female,BCA,141.09568,62.204758,2.3,2,4,Reading books,,30 - 60 minute,Morning,18000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Bad,good,No
