Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Carbon Footprint,Total Ecological Footprint (Consumption),Total biocapacity ,Ecological (Deficit) or Reserve,Number of Earths required
Afghanistan,Middle East/Central Asia,52.5,62,0.48,,LI,40.8,0.2,0.8,0.51,-0.29,0.53
Albania,Other Europe,71.6,76,0.8,14889,UM,2.9,0.7,2.1,1.18,-0.89,1.37
Algeria,Africa,71.5,76,0.75,11137,UM,45.4,1.2,2.2,0.66,-1.56,1.47
Angola,Africa,50.9,62,0.59,6304,LM,35,0.3,0.9,1.59,0.73,0.57
Antigua and Barbuda,Central America/Caribbean,,78,0.79,18749,HI,0.1,,2.9,0.92,-2.02,1.94
Argentina,South America,72.8,75,0.84,22117,UM,46,1.4,3.2,5.23,2.01,2.13
Armenia,Middle East/Central Asia,71.1,72,0.76,13548,LM,3,1.1,2.3,0.85,-1.48,1.54
Australia,Asia-Pacific,75.6,83,0.95,53053,HI,26.1,4.3,5.8,11.02,5.24,3.83
Austria,EU-27,82.3,81,0.92,55460,HI,9.1,3.2,5.6,2.89,-2.73,3.73
Azerbaijan,Middle East/Central Asia,73.5,69,0.75,14692,UM,10.3,1.2,2.4,0.94,-1.42,1.56
Bahrain,Middle East/Central Asia,64.3,79,0.88,49184,HI,1.8,6.8,8.2,0.56,-7.62,5.41
Bangladesh,Asia-Pacific,64.2,72,0.66,5681,LI,167.9,0.3,0.7,0.25,-0.42,0.44
Barbados,Central America/Caribbean,70.3,78,0.79,14910,HI,0.3,1.8,3.3,0.26,-3.05,2.19
Belarus,Other Europe,76,72,0.81,18574,UM,9.4,1.8,4.6,3.7,-0.88,3.03
Belgium,EU-27,79.7,82,0.94,52749,HI,11.7,3.6,6.7,1.16,-5.53,4.43
Belize,Central America/Caribbean,65.7,70,0.68,6122,UM,0.4,1.7,7.5,3.3,-4.23,4.99
Benin,Africa,51.2,60,0.53,3543,LI,12.8,0.3,1.1,0.63,-0.48,0.74
Bermuda,North America,,79,,,HI,0.1,,,,,
Bhutan,Asia-Pacific,70.5,72,0.67,11106,LM,0.8,0.8,4.7,4.87,0.15,3.13
Bolivia,South America,68,64,0.69,8442,LM,12,0.6,2.8,13.24,10.46,1.84
Bosnia and Herzegovina,Other Europe,71.7,75,0.78,14964,UM,3.2,1.8,4.3,2.17,-2.09,2.82
Botswana,Africa,61.4,61,0.69,16519,UM,2.4,1.3,2.2,2.9,0.68,1.47
Brazil,South America,72.8,73,0.75,14739,UM,215.4,0.7,2.6,8.18,5.63,1.69
Brunei Darussalam,Asia-Pacific,67.1,75,0.83,64198,HI,0.4,6.8,7.9,2.62,-5.29,5.24
Bulgaria,EU-27,74.3,72,0.8,24490,UM,6.8,1.9,3.6,3.08,-0.5,2.37
Burkina Faso,Africa,54.5,59,0.45,2281,LI,22.1,0.1,0.9,0.69,-0.2,0.59
