SurveyID,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,comments
1,37,Female,United States,IL,No,No,Yes,Often,2347,No,Yes,Yes,Not sure,No,Yes,NA
2,44,M,United States,IN,No,No,No,Rarely,3126,No,No,Don't know,No,Don't know,Don't know,NA
3,32,Male,Canada,,No,No,No,Rarely,1360,No,Yes,No,No,No,No,NA
4,,Male,United Kingdom,,No,Yes,Yes,Often,492,No,Yes,No,Yes,No,No,NA
5,31,Male,United States,TX,No,No,No,Never,769,Yes,Yes,Yes,No,Don't know,Don't know,NA
6,33,Male,United States,TN,No,Yes,No,Sometimes,2394,No,Yes,Yes,Not sure,No,Don't know,NA
7,35,Female,United States,MI,No,Yes,Yes,Sometimes,2308,Yes,Yes,No,No,No,No,NA
8,39,M,Canada,,No,No,No,Never,4493,Yes,Yes,No,Yes,No,No,NA
9,42,Female,United States,IL,No,Yes,Yes,Sometimes,1875,No,Yes,Yes,Yes,No,No,NA
10,23,Male,Canada,,No,No,No,Never,269,No,Yes,Don't know,No,Don't know,Don't know,NA
11,31,Male,United States,OH,No,No,Yes,Sometimes,4295,Yes,Yes,Don't know,No,No,No,NA
12,29,male,Bulgaria,,No,No,No,Never,4626,Yes,Yes,Don't know,Not sure,No,No,NA
13,42,female,United States,CA,No,Yes,Yes,Sometimes,553,No,No,Yes,Yes,No,No,NA
14,36,Male,United States,CT,No,Yes,No,Never,4000,No,Yes,Don't know,Not sure,No,Don't know,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.
15,27,Male,Canada,,No,No,No,Never,1382,No,Yes,Don't know,Not sure,Don't know,Don't know,NA
16,29,female,United States,IL,No,Yes,Yes,Rarely,1215,No,Yes,Yes,Not sure,No,No,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. 
17,,Male,United Kingdom,,No,No,Yes,Sometimes,3587,Yes,Yes,Don't know,No,Don't know,Don't know,My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work.
18,32,Male,United States,TN,No,No,Yes,Sometimes,3070,No,Yes,Yes,Yes,No,Don't know,NA
