id,host_id,host_is_superhost,calculated_host_listings_count,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,availability_365,minimum_nights,room_type,accommodates,bedrooms,beds,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,avg_air_quality,days_as_host,bathrooms,short_term
6422.0,12172,0,1,1,1,1,District 6,172,30,Private room,1,1.0,1.0,43.0,670,3.63,4.95,4.94,4.96,4.97,4.96,4.92,4.98,1.7320776255707762,5606,1.0,0
39870.0,171184,1,1,1,1,1,District 25,186,1,Private room,2,1.0,1.0,70.0,478,5.05,4.94,4.94,4.92,4.98,4.97,4.93,4.92,1.7320776255707762,5135,1.0,1
59576.0,812128,1,9,1,1,19,District 12,178,30,Private room,1,1.0,1.0,43.0,2,0.08,4.5,5.0,3.5,5.0,5.0,5.0,5.0,1.7204337899543378,4776,1.0,0
72906.0,176117,1,1,1,1,1,District 18,49,2,Entire home/apt,2,2.0,2.0,107.0,731,4.6,4.92,4.9,4.83,4.98,4.99,4.97,4.9,1.7320776255707762,5132,1.0,1
258817.0,22296,1,6,1,1,15,District 12,301,30,Private room,2,1.0,2.0,39.0,97,0.64,4.78,4.81,4.41,4.92,4.91,4.74,4.73,1.7204337899543378,5529,1.0,0
289242.0,22296,1,6,1,1,15,District 12,336,30,Private room,1,2.0,2.0,34.0,76,0.5,4.71,4.75,4.27,4.83,4.78,4.47,4.69,1.7204337899543378,5529,1.0,0
329997.0,1684051,1,7,1,1,7,District 19,114,2,Entire home/apt,2,1.0,1.0,114.0,1391,9.26,4.9,4.91,4.93,4.94,4.95,4.61,4.88,1.7320776255707762,4572,1.0,1
340081.0,22296,1,6,1,1,15,District 12,354,30,Private room,2,1.0,3.0,34.0,81,0.54,4.84,4.77,4.53,4.89,4.96,4.65,4.88,1.7204337899543378,5529,1.0,0
395889.0,1547584,1,1,1,1,1,District 6,331,1,Private room,2,1.0,1.0,97.0,336,2.29,4.87,4.94,4.93,4.96,4.96,4.69,4.82,1.7320776255707762,4606,1.0,1
421290.0,1684051,1,7,1,1,7,District 19,38,2,Entire home/apt,2,1.0,1.0,110.0,1041,7.1,4.95,4.97,4.98,4.97,4.96,4.81,4.94,1.7320776255707762,4572,1.0,1
430052.0,1684051,1,7,1,1,7,District 19,41,2,Entire home/apt,2,1.0,1.0,98.0,1043,7.12,4.95,4.94,4.98,4.97,4.95,4.78,4.92,1.7320776255707762,4572,1.0,1
431258.0,1684051,1,7,1,1,7,District 19,283,2,Entire home/apt,4,2.0,2.0,259.0,526,3.58,4.88,4.93,4.93,4.96,4.95,4.45,4.87,1.7320776255707762,4572,2.5,1
513664.0,2530554,0,1,1,1,1,District 14,0,2,Private room,4,0.0,0.0,,27,0.2,4.7,4.62,4.58,4.88,4.85,4.52,4.65,1.7204337899543378,4449,1.0,1
632636.0,1684051,1,7,1,1,7,District 19,47,2,Entire home/apt,2,1.0,1.0,178.0,437,3.02,4.97,4.97,4.95,4.99,4.98,4.77,4.93,1.7320776255707762,4572,1.5,1
637425.0,2427763,1,2,1,1,2,District 6,364,1,Private room,2,1.0,1.0,133.0,179,1.24,4.83,4.92,4.94,4.91,4.87,4.8,4.73,1.7320776255707762,4462,1.0,1
645985.0,1515903,1,2,1,1,2,District 6,220,30,Private room,1,1.0,2.0,32.0,57,0.4,4.87,4.85,4.85,4.8,4.87,4.73,4.8,1.7320776255707762,4617,1.0,0
648088.0,3250769,0,1,1,1,1,District 19,169,2,Private room,2,1.0,2.0,125.0,444,3.1,4.87,4.89,4.88,4.96,4.92,4.88,4.87,1.7320776255707762,4378,1.0,1
674159.0,3422455,1,2,1,1,2,District 6,237,3,Entire home/apt,2,1.0,1.0,142.0,334,2.39,4.93,4.92,4.96,4.94,4.95,4.88,4.9,1.7320776255707762,4361,1.0,1
681880.0,3471162,1,1,1,1,1,District 7,143,1,Entire home/apt,2,1.0,1.0,96.0,752,5.27,4.96,4.97,4.98,4.97,4.98,4.86,4.93,1.7320776255707762,4356,1.0,1
859206.0,1924504,0,1,1,1,1,District 18,0,2,Private room,2,1.0,0.0,,128,0.92,4.81,4.87,4.89,4.98,4.97,4.92,4.87,1.7320776255707762,4530,1.0,1
914787.0,4910520,0,15,1,1,25,District 19,346,1,Entire home/apt,6,1.0,4.0,243.0,419,3.05,4.75,4.79,4.8,4.91,4.94,4.67,4.68,1.7320776255707762,4208,1.0,1
980344.0,441439,0,3,1,1,4,District 24,82,2,Private room,2,1.0,1.0,250.0,0,,,,,,,,,1.7320776255707762,4896,1.0,1
1006989.0,1896384,1,1,1,1,1,District 6,82,2,Entire home/apt,3,1.0,1.0,88.0,609,4.46,4.98,4.98,5.0,5.0,4.99,4.94,4.96,1.7320776255707762,4534,1.0,1
1009550.0,5554006,1,1,1,1,1,District 7,58,3,Entire home/apt,4,2.0,3.0,114.0,267,1.96,4.95,4.95,4.93,4.98,5.0,4.93,4.95,1.7320776255707762,4159,1.0,1
1209395.0,6604593,1,1,1,1,1,District 19,305,3,Entire home/apt,2,1.0,1.0,118.0,238,1.84,4.87,4.84,4.8,4.97,4.95,4.92,4.78,1.7320776255707762,4091,1.0,1
1300670.0,119023,1,1,1,1,1,District 10,322,2,Entire home/apt,4,1.0,6.0,139.0,152,1.14,4.99,4.97,4.97,5.0,4.97,4.99,4.95,1.6886986301369864,5209,1.0,1
1537921.0,113637,1,1,1,0,1,District 6,224,2,Entire home/apt,2,1.0,1.0,146.0,312,2.37,4.92,4.98,4.97,4.96,4.96,4.84,4.88,1.7320776255707762,5219,1.0,1
1546787.0,6855810,1,113,1,1,189,District 18,163,2,Entire home/apt,4,0.0,2.0,90.0,513,4.07,4.88,4.92,4.87,4.94,4.92,4.94,4.83,1.7320776255707762,4076,1.0,1
1550764.0,1684051,1,7,1,1,7,District 19,36,2,Entire home/apt,2,1.0,1.0,123.0,837,6.35,4.91,4.96,4.97,4.96,4.95,4.81,4.9,1.7320776255707762,4572,1.0,1
1557535.0,8291189,0,1,1,1,1,District 7,308,3,Entire home/apt,12,4.0,8.0,636.0,87,0.68,4.98,4.97,4.98,5.0,4.99,5.0,4.93,1.7320776255707762,4006,2.5,1
1583339.0,1567001,1,4,1,1,11,District 6,357,2,Entire home/apt,6,3.0,0.0,,79,0.6,4.89,4.77,4.6,4.99,4.96,4.91,4.73,1.7320776255707762,4600,2.5,1
1583557.0,1567001,1,4,1,1,11,District 6,172,30,Entire home/apt,4,2.0,2.0,160.0,121,0.92,4.84,4.83,4.82,4.93,4.98,4.93,4.76,1.7320776255707762,4600,1.5,0
1587240.0,1567001,1,4,1,1,11,District 6,0,30,Private room,2,0.0,0.0,,133,1.02,4.93,4.95,4.92,4.98,4.98,4.96,4.94,1.7320776255707762,4600,1.5,0
1625117.0,8382752,0,1,1,1,1,District 7,331,1,Entire home/apt,6,1.0,2.0,92.0,351,2.83,4.26,4.46,4.1,4.84,4.8,4.66,4.34,1.7320776255707762,4001,1.0,1
1640655.0,6154341,0,1,1,1,1,District 17,363,4,Private room,2,2.0,1.0,90.0,149,1.14,4.9,4.95,4.9,5.0,4.99,4.84,4.92,1.7320776255707762,4119,1.0,1
1661560.0,8804227,0,1,1,1,1,District 6,217,1,Entire home/apt,6,2.0,2.0,183.0,132,1.02,4.91,4.92,4.95,4.95,4.96,4.9,4.88,1.7320776255707762,3983,1.0,1
1793477.0,7509912,0,1,1,1,2,District 7,296,1,Entire home/apt,6,1.0,3.0,130.0,564,4.37,4.94,4.96,4.95,4.95,4.94,4.85,4.92,1.7320776255707762,4042,1.0,1
