SkierID,gender,Select_All_That_Apply
1001,m,"sbasn, solit, sbird, altax"
1002,m,"sbird, altax"
1003,f,"powmo, altax"
1004,m,"solit, sbird, altax"
1005,m,"beavm, sbasn, powmo, solit, brton, sbird, altax, parkc, deerv, canyo"
1006,m,"beavm, sbasn, powmo"
1007,f,"sbasn, powmo, solit, sbird, altax"
1008,m,beavm
1009,f,"parkc, deerv, canyo"
1010,m,"sbasn, sbird, altax"
1011,m,powmo
1012,m,"beavm, powmo, solit, brton, sbird, altax, parkc, deerv, canyo"
1013,f,"sbird, altax"
1014,m,"sbasn, powmo, deerv"
1015,f,"parkc, deerv, canyo"
1016,m,"powmo, sbird"
1017,m,"beavm, sbasn, powmo, solit, brton, sbird, altax, parkc, canyo"
1018,f,"sbasn, powmo, solit, brton, altax, parkc, deerv"
1019,m,"powmo, sbird, altax"
1020,f,"powmo, altax, parkc, canyo"
1021,m,"parkc, deerv, canyo"
1022,m,"sbasn, brton, altax, parkc, deerv"
1024,m,"sbasn, powmo, brton, sbird, deerv"
1025,f,"sbasn, powmo, brton, sbird, altax"
1026,m,"beavm, sbasn, sbird, altax"
1027,f,"sbasn, powmo, altax, parkc"
1028,f,solit
1029,f,"solit, deerv, canyo"
1030,m,"solit, deerv"
1031,f,"parkc, deerv, canyo"
1032,f,"beavm, sbasn, altax"
1033,f,"sbasn, powmo, solit, altax, parkc, deerv"
1034,f,"brton, parkc, deerv, canyo"
1035,m,"sbasn, parkc, canyo"
1036,m,"parkc, deerv, canyo"
1037,f,"sbasn, powmo, sbird, altax"
1038,f,"solit, brton, canyo"
1039,m,"solit, brton, altax"
1040,f,"sbasn, powmo, sbird"
1041,m,"solit, sbird, parkc, deerv, canyo"
1042,m,"sbird, altax"
1043,f,"solit, sbird, parkc"
1044,f,"sbird, altax"
1045,m,"sbasn, solit, brton, altax, deerv, canyo"
1046,m,"sbird, altax"
1047,m,"sbasn, sbird, altax"
1048,f,"parkc, deerv, canyo"
1049,f,"sbird, altax"
1050,f,"sbasn, powmo, solit, sbird, altax"
1051,f,powmo
1052,m,"sbasn, parkc, deerv, canyo"
1053,f,"powmo, brton, sbird, altax, deerv"
1054,m,"sbasn, powmo, brton, sbird, altax, parkc, canyo"
1055,m,"beavm, sbasn, powmo, altax"
1056,m,"sbasn, sbird, altax"
1057,m,"beavm, sbasn, powmo"
1058,m,"sbasn, powmo, deerv"
1059,f,"solit, sbird, altax"
1060,f,"sbird, altax"
1061,f,"sbasn, powmo, solit, sbird, altax"
1062,m,"sbasn, powmo"
1063,m,"sbasn, solit, brton, sbird"
1064,m,"solit, sbird, altax"
1065,f,solit
1066,m,"beavm, sbasn, sbird, altax, deerv, canyo"
1067,f,"sbasn, parkc, deerv, canyo"
1068,f,"powmo, brton, altax, deerv"
1069,f,"sbird, altax"
1070,f,"sbasn, brton"
1071,f,"beavm, sbasn, powmo"
1072,f,"sbird, altax"
1073,m,"parkc, deerv, canyo"
1074,f,"beavm, sbasn"
1075,m,"sbasn, powmo, parkc"
1076,m,deerv
1077,m,"sbasn, parkc, canyo"
1078,m,"sbasn, powmo, solit, sbird, altax"
1079,f,altax
1080,m,"parkc, deerv, canyo"
1081,m,"parkc, deerv, canyo"
1082,f,"beavm, sbasn, powmo, solit, brton, sbird, altax, parkc, deerv, canyo"
1083,f,"sbasn, sbird, altax"
1084,f,"sbasn, solit, brton, altax, deerv"
1085,f,"parkc, deerv, canyo"
1086,m,"sbasn, powmo, altax, deerv"
1087,f,"sbasn, solit, brton, altax"
1088,m,"sbasn, powmo, solit, sbird, altax"
1089,m,"sbasn, powmo, solit, sbird, altax"
1090,f,"sbasn, powmo, sbird, altax"
1091,f,"sbasn, solit, sbird, parkc, deerv, canyo"
1092,m,"powmo, sbird, altax"
1093,m,"sbasn, powmo, solit, brton, sbird, altax"
1094,f,"sbasn, solit, sbird, parkc"
1095,m,"sbird, altax"
1096,f,"beavm, powmo, solit, brton, sbird, altax, parkc, deerv, canyo"
1097,m,"sbasn, powmo, solit, altax"
1098,m,"beavm, powmo, solit, brton, sbird, altax, parkc, deerv, canyo"
1099,m,"powmo, solit"
1100,f,"altax, parkc, deerv, canyo"
1101,m,"parkc, deerv, canyo"
1102,f,"parkc, deerv, canyo"
1103,m,"parkc, deerv, canyo"
1104,f,"sbasn, solit"
1106,m,"sbasn, powmo, altax, parkc"
1107,f,"sbasn, powmo"
1108,f,"beavm, powmo, parkc"
1109,m,"sbird, altax"
1110,f,"sbasn, powmo, solit, sbird, altax"
1111,m,"sbird, altax"
1112,f,"powmo, sbird, altax, deerv"
1113,f,"powmo, solit, sbird, altax"
1114,f,"brton, sbird, deerv, canyo"
1115,m,"beavm, sbasn, powmo"
1116,f,brton
1117,f,powmo
1118,m,"sbird, parkc, deerv, canyo"
1119,m,"sbasn, powmo, solit, altax, parkc, deerv"
1120,m,"sbird, parkc, deerv, canyo"
1121,f,"sbasn, powmo"
1122,m,"sbird, altax, deerv"
1123,m,"sbasn, powmo, sbird"
1124,m,powmo
1125,m,"sbasn, powmo, brton, sbird"
1126,m,"beavm, powmo, solit, altax, parkc, deerv"
1127,f,"sbasn, powmo, solit, sbird, altax"
1128,f,"solit, sbird, altax"
1129,f,"sbasn, brton, altax"
1130,f,"sbasn, powmo, sbird"
1131,m,"sbird, altax"
1132,m,"parkc, deerv, canyo"
1133,m,"sbird, altax"
1134,f,"solit, brton, sbird, altax"
1135,f,"sbasn, sbird, altax, canyo"
1136,f,solit
1137,f,"sbasn, powmo, deerv"
1138,f,"sbasn, powmo, solit, sbird, altax, canyo"
1139,f,"powmo, altax, parkc"
1140,f,"beavm, powmo"
1141,m,"sbasn, powmo, solit, sbird, altax"
1142,f,"beavm, sbasn, powmo"
1143,m,"sbasn, powmo, sbird"
1144,m,"beavm, sbasn, powmo, altax"
1145,f,"sbasn, powmo, solit, sbird, altax"
1146,m,"powmo, solit, sbird, parkc, deerv"
1147,m,"beavm, powmo, solit, sbird, altax"
1148,m,"sbasn, solit"
1149,f,"brton, altax"
1150,m,"solit, parkc, deerv, canyo"
1151,f,"solit, brton, altax, parkc, deerv, canyo"
1152,f,"powmo, solit, sbird, altax"
1153,f,"altax, canyo"
1154,m,brton
1155,f,"parkc, deerv, canyo"
1156,f,"powmo, solit, sbird, altax"
1157,f,"parkc, deerv, canyo"
1158,m,"powmo, sbird"
1159,m,"brton, sbird, parkc"
1161,f,"sbasn, parkc, deerv, canyo"
1162,m,"sbasn, solit, brton, altax"
1163,m,"sbasn, powmo, solit, sbird, altax"
1164,f,"altax, parkc, deerv, canyo"
1165,f,"sbasn, powmo, altax, parkc, deerv"
1166,m,"sbird, altax"
1167,f,"altax, parkc, deerv, canyo"
1168,f,"sbasn, sbird, altax"
1169,m,"sbird, altax"
1170,m,"solit, brton, sbird"
1171,m,"beavm, powmo, solit, sbird, altax"
1172,m,"sbasn, solit, brton, altax, parkc, deerv"
1173,f,"sbasn, powmo, sbird"
1174,m,"powmo, solit, brton, sbird, altax"
1175,m,"powmo, solit, sbird, altax"
1176,m,"solit, brton, sbird, parkc"
1177,f,"solit, sbird, altax, deerv, canyo"
1178,f,"parkc, deerv, canyo"
1179,f,"solit, brton, altax"
1180,m,"sbasn, sbird, altax, canyo"
1182,f,"sbasn, parkc, deerv, canyo"
1183,m,"sbasn, sbird, altax"
1184,f,"beavm, powmo, solit, sbird, altax, parkc, deerv, canyo"
1185,m,"sbasn, powmo, solit, sbird, altax"
1186,f,"parkc, deerv, canyo"
1187,m,"powmo, brton, sbird, altax"
1188,m,"sbird, altax"
1189,m,"solit, brton, sbird"
1190,f,"brton, altax, deerv"
1191,f,"sbasn, powmo, sbird, altax"
1192,f,"powmo, brton, altax, deerv, canyo"
1193,m,"beavm, powmo, solit, brton, sbird, altax, parkc, deerv"
1194,m,"powmo, solit, brton, sbird, altax"
1195,m,solit
1196,m,"parkc, deerv, canyo"
1197,f,"sbasn, powmo, sbird, altax"
1198,f,"beavm, sbasn, powmo, solit, sbird, altax"
1199,f,"sbasn, powmo, solit, sbird, altax"
1200,f,"brton, sbird, altax, canyo"
1201,f,"brton, altax"
1202,f,"sbasn, sbird, altax"
1203,m,"sbasn, brton, sbird, parkc"
1204,m,"sbasn, powmo, solit, sbird, altax"
1205,m,powmo
1206,m,"solit, sbird, canyo"
1207,m,"beavm, sbasn, powmo, solit, brton, sbird, altax, deerv, canyo"
